av512m/500/1 : [22.20564, 9.14282, 22.88139]
euroc_v201_752/500/3 : [6.00989, 6.00989]
euroc_v201_752/750/1 : [5.9471, 5.9471]
euroc_v201_752/750/2 : [5.56529, 5.56529]
euroc_v201_752/750/3 : [5.61239, 5.61239]
euroc_v201_752/1000/1 : [5.56253, 5.56253]
euroc_v201_752/1000/2 : [6.017, 6.017]
euroc_v201_752/1000/3 : [6.00451, 6.00451]
euroc_v201_752/1250/1 : [30.86703, -100, 30.86703]
euroc_v201_752/1250/2 : [55.18512, 58.93965, -100, 64.07311]
euroc_v201_752/1250/3 : [62.48102, -100, 62.48102]
euroc_v201_752/2500/1 : [6.53071, 5.5547, 6.47865]
euroc_v201_752/2500/2 : [5.84056, 5.84056]
euroc_v201_752/2500/3 : [70.12246, 5.56976, 67.87051]
euroc_v201_752/5000/1 : [6.43769, 17.20564, 8.33425]
euroc_v201_752/5000/2 : [89.23363, 3.56384, 85.83346]
euroc_v201_752/5000/3 : [6.02412, 6.02412]
euroc_v201_752/10000/1 : [66.38178, 66.38178]
euroc_v201_752/10000/2 : [6.79901, 3.77896, 6.68119]
euroc_v201_752/10000/3 : [5.98072, 5.98072]
euroc_v202_752/500/1 : [8.37558, 8.37558]
euroc_v202_752/500/2 : [6.84066, 6.84066]
euroc_v202_752/500/3 : [7.34989, 7.34989]
euroc_v202_752/750/1 : [10.14811, 10.14811]
euroc_v202_752/750/2 : [5.02827, 3.65932, 5.14819]
euroc_v202_752/750/3 : [5.48982, 3.71327, 5.42318]
euroc_v202_752/1000/1 : [111.55064, 66.22113, 5.99971, 142.48544]
euroc_v202_752/1000/2 : [20.48595, 5.87852, 2.25895, 14.84164]
euroc_v202_752/1000/3 : [5.81714, 4.67128, 5.44435]
euroc_v202_752/1250/1 : [5.50427, 4.66835, 5.31391]
euroc_v202_752/1250/2 : [6.20769, 5.18716, 5.95633]
euroc_v202_752/1250/3 : [6.01092, 4.93996, 5.68056]
euroc_v202_752/2500/1 : [41.89582, 35.9433, 36.97541, 40.14367]
euroc_v202_752/2500/2 : [14.74565, 10.66497, 12.49461]
euroc_v202_752/2500/3 : [19.60932, 146.97079, 158.53807]
euroc_v202_752/5000/1 : [65.48969, 114.34463, 7.96125, 110.48739]
euroc_v202_752/5000/2 : [30.99475, 56.66007, 50.66866]
euroc_v202_752/5000/3 : [19.49099, 6.96901, 13.89338]
euroc_v202_752/10000/1 : [71.66182, 13.9141, 56.38303]
euroc_v202_752/10000/2 : [61.93739, 53.72411, 49.45392, 67.89015]
euroc_v202_752/10000/3 : [60.95987, 5.99317, 43.89775]
euroc_v203_752/500/1 : [20.21809, 20.21809]
euroc_v203_752/500/2 : [57.41703, 57.41703]
